Order_ID,Order_Date,Customer_ID,Customer_Type,Customer_Since,Region,Acquisition_Channel,Campaign_Name,Impressions,Clicks,Adds_To_Cart,Ad_Spend,Product_Category,Product_Name,Units_Sold,Unit_Price,Revenue,Stock_Level,Reorder_Point,Delivery_Time_Days,Delivery_Status,Return_Flag,Return_Reason,Shipping_Cost,COGS,Profit,Margin %,WeightKg,Country,Adjusted_Delivery_Time_Days
O1002765,23/06/2024,C101603,Returning,25/01/2024,Domestic,Instagram,IG_Jun_AthleteDrop,83,1,1,21.15,Equipment Sets,Beginner Home Workout Set,1,153.51,153.51,63,22,2,On-time,No,,8.91,81,63.6,0.41,6.00,Germany,1.00
O1002723,22/06/2024,C100169,Returning,26/11/2024,Domestic,TikTok,TT_Jun_Creators,56,1,1,14.1,Better Grip,Liquid Chalk,1,13.79,13.79,300,105,2,On-time,No,,5.55,4,4.24,0.31,0.35,Germany,1.00
O1005390,28/11/2024,C101534,New,19/10/2024,Non-EU,TikTok,TT_Nov_Challenge,56,1,1,14.1,Workout Rings,Wooden Gymnastic Rings,2,49.32,98.64,-2,60,5,On-time,No,,13.76,32,52.88,0.54,1.10,UK,2.50
O1004444,05/10/2024,C101999,Returning,22/07/2024,Domestic,Google,GG_Oct_Brand,100,2,1,51.7,Bandages,Wrist Wraps,1,17.12,17.12,51,90,1,On-time,No,,6.11,6,5.01,0.29,0.20,Germany,0.50
O1003134,15/07/2024,C101622,New,14/12/2024,Domestic,TikTok,TT_Jul_SparkAds,56,1,2,14.1,Clothing,Oversized Hoodie,1,61.84,61.84,283,120,2,On-time,No,,4.37,25,32.47,0.53,0.70,Germany,1.00
O1004210,22/09/2024,C100745,Returning,12/05/2024,EU,Instagram,IG_Sep_AthleteDrop,83,1,1,21.15,Clothing,Training Tank,1,37.04,37.04,102,120,3,On-time,No,,8.48,10,18.56,0.50,0.25,Poland,1.50
O1005577,07/12/2024,C100914,Returning,05/05/2024,Domestic,Google,GG_Dec_Brand,100,2,1,51.7,Dip Belt,Weighted Dip Belt,1,40.28,40.28,-1,37,1,On-time,No,,6.74,19,14.54,0.36,0.80,Germany,0.50
O1002351,02/06/2024,C101865,New,24/03/2024,Domestic,Instagram,IG_Jun_AthleteDrop,83,1,2,21.15,Clothing,Joggers,1,74.86,74.86,396,120,1,On-time,No,,5.38,21,48.48,0.65,0.60,Germany,0.50
O1002759,23/06/2024,C100549,Returning,30/05/2024,Domestic,Google,GG_Jun_Shopping,100,2,1,51.7,Dip Bars,Steel Dip Bars,1,68.51,68.51,76,27,2,On-time,No,,7.59,48,12.92,0.19,5.00,Germany,1.00
O1000264,20/01/2024,C101857,Returning,26/06/2024,Domestic,Instagram,IG_Jan_Giveaway,83,1,1,21.15,Clothing,Training Tank,1,28.89,28.89,747,120,2,On-time,No,,6.73,10,12.16,0.42,0.25,Germany,1.00
O1001917,09/05/2024,C100250,New,03/12/2024,Non-EU,TikTok,TT_May_SparkAds,56,1,2,14.1,Resistance Bands,Set of 5 Resistance Bands,2,44.87,89.74,285,75,4,On-time,No,,14.04,26,49.7,0.55,0.90,Australia,2.00
O1005120,14/11/2024,C100059,Returning,24/07/2024,EU,Instagram,IG_Nov_AthleteDrop,83,1,1,21.15,Bandages,Wrist Wraps,2,21.65,43.3,-2,90,5,On-time,No,,9.91,12,21.39,0.49,0.20,France,2.50
O1002578,14/06/2024,C101789,Returning,14/11/2024,EU,Instagram,IG_Jun_Giveaway,83,1,2,21.15,Dip Bars,Steel Dip Bars,1,103.72,103.72,82,27,4,On-time,No,,10.99,48,44.73,0.43,5.00,Netherlands,2.00
O1000673,19/02/2024,C101878,Returning,25/01/2024,Domestic,TikTok,TT_Feb_Creators,167,3,1,42.3,Clothing,Training Tank,2,39.58,79.16,667,120,1,On-time,No,,4.49,20,54.67,0.69,0.25,Germany,0.50
O1004005,10/09/2024,C101384,Returning,22/04/2024,Domestic,TikTok,TT_Sep_Creators,56,1,1,14.1,Workout Accessories,Chalk Block,1,13.99,13.99,75,67,2,On-time,No,,4.99,4,5,0.36,0.30,Germany,1.00
O1001484,12/04/2024,C101642,Returning,30/10/2024,Domestic,Instagram,IG_Apr_AthleteDrop,167,2,1,42.3,Pull Up Bars,Outdoor Pull-Up Bar,1,121.46,121.46,132,30,3,On-time,No,,8.31,78,35.15,0.29,7.00,Germany,1.50
O1005608,09/12/2024,C101203,New,18/02/2024,EU,Google,GG_Dec_Shopping,50,1,1,25.85,Dip Bars,Steel Dip Bars,1,73.15,73.15,-1,27,2,On-time,No,,10.47,48,14.68,0.20,5.00,Belgium,1.00
O1003906,04/09/2024,C101007,Returning,17/05/2024,Domestic,Google,GG_Sep_Search,100,2,1,51.7,Clothing,Performance T-Shirt,1,35.78,35.78,149,120,1,On-time,Yes,Size,6.14,11,18.64,0.52,0.30,Germany,0.50
O1001213,27/03/2024,C100708,Returning,15/02/2024,Domestic,TikTok,TT_Mar_Creators,56,1,2,14.1,Resistance Bands,Set of 5 Resistance Bands,2,43.69,87.38,356,75,1,On-time,No,,6.9,26,54.48,0.62,0.90,Germany,0.50
O1003536,09/08/2024,C101106,Returning,05/06/2024,Domestic,TikTok,TT_Aug_Challenge,56,1,1,14.1,Parallettes,Wooden Parallettes,2,57.3,114.6,80,45,2,On-time,No,,7.07,60,47.53,0.41,2.20,Germany,1.00
O1002891,01/07/2024,C101450,Returning,22/05/2024,EU,Instagram,IG_Jul_Giveaway,83,1,1,21.15,Weight Vests,10kg Weighted Vest,1,113.27,113.27,95,36,3,On-time,No,,15.29,74,23.98,0.21,10.00,Netherlands,1.50
O1003040,10/07/2024,C101740,New,13/07/2024,EU,Organic,ORG_Jul_Blog,0,0,0,0,Clothing,Joggers,2,47.04,94.08,295,120,3,On-time,No,,10.04,42,42.04,0.45,0.60,Sweden,1.50
O1004591,14/10/2024,C100082,Returning,26/07/2024,Domestic,Instagram,IG_Oct_Reels,167,2,1,42.3,Dip Bars,Steel Dip Bars,1,93.2,93.2,10,27,1,On-time,No,,8.52,48,36.68,0.39,5.00,Germany,0.50
O1001236,29/03/2024,C101534,New,19/10/2024,Non-EU,TikTok,TT_Mar_Challenge,56,1,1,14.1,Static Bar,Adjustable Static Bar,3,173.24,519.72,82,18,6,On-time,No,,18.82,279,221.9,0.43,8.00,USA,3.00
O1001173,24/03/2024,C101122,Returning,09/03/2024,EU,TikTok,TT_Mar_Creators,56,1,1,14.1,Workout Accessories,Athlete Backpack,1,59.21,59.21,326,67,3,On-time,No,,8.37,19,31.84,0.54,0.90,Poland,1.50
O1002628,16/06/2024,C100879,Returning,20/12/2024,Domestic,Google,GG_Jun_Shopping,100,2,1,51.7,Weight Vests,10kg Weighted Vest,1,127.77,127.77,107,36,2,On-time,No,,10.06,74,43.71,0.34,10.00,Germany,1.00
O1001331,03/04/2024,C101282,Returning,19/09/2024,Domestic,TikTok,TT_Apr_SparkAds,111,2,1,28.2,Bandages,Elbow Support,1,20.09,20.09,415,90,2,On-time,No,,4.73,9,6.36,0.32,0.25,Germany,1.00
O1005683,12/12/2024,C100066,Returning,16/09/2024,Domestic,Instagram,IG_Dec_Giveaway,250,3,1,63.45,Clothing,Joggers,1,72.7,72.7,-1,120,1,On-time,No,,5.72,21,45.98,0.63,0.60,Germany,0.50
O1004634,17/10/2024,C101840,New,22/06/2024,EU,Instagram,IG_Oct_Reels,83,1,1,21.15,Bandages,Wrist Wraps,1,17.23,17.23,27,90,3,On-time,No,,9.37,6,1.86,0.11,0.20,Spain,1.50
O1001727,28/04/2024,C100435,New,01/10/2024,Non-EU,Instagram,IG_Apr_Giveaway,167,2,1,42.3,Workout Accessories,Chalk Block,1,15.31,15.31,274,67,7,On-time,No,,12.03,4,-0.72,-0.05,0.30,Switzerland,3.50
O1000473,04/02/2024,C100384,New,20/01/2024,Non-EU,TikTok,TT_Feb_Creators,56,1,1,14.1,Better Grip,Liquid Chalk,1,17.38,17.38,619,105,6,On-time,No,,13.37,4,0.01,0.00,0.35,USA,3.00
